timestamp;session_duration;calm_probability;focus_probability;delta;theta;alpha;beta;gamma;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-03T12:00:37.628723;4.33;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-10.328;3.752;-0.608;-67.152;-26.811;0.759;-26.99;2.497
2025-07-03T12:00:37.630723;4.33;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-5.82;2.172;-1.296;-84.199;-14.834;-0.685;-43.232;-0.572
2025-07-03T12:00:37.682984;4.39;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-1.283;1.524;1.69;-27.034;-4.07;-0.418;-36.528;1.568
2025-07-03T12:00:37.736045;4.44;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-5.326;-3.049;1.159;-17.275;-29.887;3.144;-106.778;-2.032
2025-07-03T12:00:37.789614;4.49;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;2.013;-4.094;-2.423;37.766;0.413;0.375;11.338;0.136
2025-07-03T12:00:37.843545;4.55;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;12.104;0.998;-0.932;85.543;45.759;-2.214;134.154;-2.324
2025-07-03T12:00:37.915152;4.62;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;8.906;4.529;0.197;85.226;35.292;0.918;119.774;0.224
2025-07-03T12:00:37.967903;4.67;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-4.324;-1.564;-0.824;3.577;-8.742;-1.375;3.61;-1.329
2025-07-03T12:00:38.019944;4.72;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-10.327;0.299;1.536;-84.985;-30.156;-2.551;-109.047;0.875
2025-07-03T12:00:38.021944;4.73;0.3800599057992651;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;-10.327;0.299;1.536;-84.985;-30.156;-2.551;-109.047;0.875
2025-07-03T12:00:38.073618;4.78;0.3800599057992651;0.2554247669030391;11.005;7.594;3.464;1.85;0.746;-10.327;0.299;1.536;-84.985;-30.156;-2.551;-109.047;0.875
2025-07-03T12:00:38.075621;4.78;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;-10.327;0.299;1.536;-84.985;-30.156;-2.551;-109.047;0.875
2025-07-03T12:00:38.081618;4.78;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;-0.983;-1.883;2.198;-62.296;-15.597;3.82;-60.265;4.396
2025-07-03T12:00:38.134142;4.84;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;4.514;-1.177;-2.681;0.779;0.833;-0.647;0.783;-4.081
2025-07-03T12:00:38.187102;4.89;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;-2.257;2.361;2.053;13.127;3.672;1.339;8.758;0.846
2025-07-03T12:00:38.241622;4.94;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;-0.864;3.053;-2.34;4.08;2.426;0.207;8.51;1.256
2025-07-03T12:00:38.297178;5.0;0.3800599057992651;0.2554247669030391;1.779;2.634;1.828;2.923;0.676;-2.364;-2.075;-0.374;-9.558;-4.776;-1.29;-14.896;1.084
2025-07-03T12:00:38.402694;5.11;0.3800599057992651;0.2554247669030391;4.271;5.246;6.399;2.587;0.722;-2.364;-2.075;-0.374;-9.558;-4.776;-1.29;-14.896;1.084
2025-07-03T12:00:38.410692;5.11;0.3800599057992651;0.2554247669030391;10.62;11.739;4.789;2.658;0.587;-2.364;-2.075;-0.374;-9.558;-4.776;-1.29;-14.896;1.084
2025-07-03T12:00:38.417692;5.12;0.3800599057992651;0.2554247669030391;10.62;11.739;4.789;2.658;0.587;4.512;-2.583;0.087;19.498;6.414;-1.649;13.281;1.224
2025-07-03T12:00:38.470410;5.17;0.3800599057992651;0.2554247669030391;10.62;11.739;4.789;2.658;0.587;-1.996;-1.056;0.401;-4.722;-0.787;-0.294;1.045;-2.209
2025-07-03T12:00:38.522461;5.23;0.3800599057992651;0.2554247669030391;10.62;11.739;4.789;2.658;0.587;3.546;3.607;2.134;2.294;4.045;0.403;14.778;-1.542
2025-07-03T12:00:38.573613;5.28;0.3800599057992651;0.2554247669030391;12.936;8.9;2.434;3.212;0.679;3.546;3.607;2.134;2.294;4.045;0.403;14.778;-1.542
